holiday_name,date,type,state,description
Republic Day,26-01-2024,National,All,Commemorates the adoption of the Indian Constitution in 1950
Independence Day,15-08-2024,National,All,Marks India's independence from British rule in 1947
Gandhi Jayanti,02-10-2024,National,All,Birthday of Mahatma Gandhi
Diwali,01-11-2024,Religious,All,Festival of Lights
Holi,25-03-2024,Religious,All,Festival of Colors
Eid-ul-Fitr,10-04-2024,Religious,All,End of Ramadan
Christmas,25-12-2024,Religious,All,Birth of Jesus Christ
Guru Nanak Jayanti,15-11-2024,Religious,All,Birth anniversary of Guru Nanak Dev Ji
Gudi Padwa,26-03-2024,Religious,Maharashtra,Marathi New Year
Maharashtra Day,01-05-2024,State,Maharashtra,Formation day of Maharashtra
Ganesh Chaturthi,07-09-2024,Religious,Maharashtra,Festival of Lord Ganesha
Ugadi,26-03-2024,Religious,Karnataka,Kannada New Year
Kannada Rajyotsava,01-11-2024,State,Karnataka,Formation day of Karnataka
Pongal,15-01-2024,Religious,Tamil Nadu,Harvest festival
Tamil New Year,14-04-2024,Religious,Tamil Nadu,Tamil New Year
Onam,29-08-2024,Religious,Kerala,Harvest festival
Vishu,14-04-2024,Religious,Kerala,Malayalam New Year
Kerala Piravi,01-11-2024,State,Kerala,Formation day of Kerala
Poila Boishakh,15-04-2024,Religious,West Bengal,Bengali New Year
Durga Puja,10-10-2024,Religious,West Bengal,Festival of Goddess Durga
Kali Puja,01-11-2024,Religious,West Bengal,Festival of Goddess Kali
Baisakhi,13-04-2024,Religious,Punjab,Harvest festival
Lohri,13-01-2024,Religious,Punjab,Winter festival
Uttarayan,15-01-2024,Religious,Gujarat,Kite festival
Navratri,03-10-2024,Religious,Gujarat,Nine nights festival
Gujarat Day,01-05-2024,State,Gujarat,Formation day of Gujarat
Gangaur,26-03-2024,Religious,Rajasthan,Spring festival
Teej,17-07-2024,Religious,Rajasthan,Monsoon festival
Rajasthan Day,30-03-2024,State,Rajasthan,Formation day of Rajasthan
Bathukamma,03-10-2024,Religious,Telangana,Flower festival
Telugu New Year,26-03-2024,Religious,Andhra Pradesh,Telugu New Year
Raja Parba,14-06-2024,Religious,Odisha,Monsoon festival
Nuakhai,03-09-2024,Religious,Odisha,Harvest festival
Odisha Day,01-04-2024,State,Odisha,Formation day of Odisha
Bihu,14-04-2024,Religious,Assam,Harvest festival
Ambubachi Mela,22-06-2024,Religious,Assam,Monsoon festival
Assam Day,02-12-2024,State,Assam,Formation day of Assam 
